element,sp_num,obs_wl_vac(A),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,tp_ref,line_ref,
Kr,1,888.672,0.010,15,,,0,1,,,L4676,
Kr,1,888.777,0.010,2,,,0,1,,,L4676,
Kr,1,889.034,0.010,13,,,0,1,,,L4676,
Kr,1,889.069,0.010,15,,,0,1,,,L4676,
Kr,1,889.198,0.010,3,,,0,1,,,L4676,
Kr,1,889.508,0.010,12,,,0,1,,,L4676,
Kr,1,889.550,0.010,16,,,0,1,,,L4676,
Kr,1,889.707,0.010,3,,,0,1,,,L4676,
Kr,1,890.089,0.010,14,,,0,1,,,L4676,
Kr,1,890.139,0.010,16,,,0,1,,,L4676,
Kr,1,890.333,0.010,4,,,0,1,,,L4676,
Hg,1,890.69,0.07,10h,,,0,1,,,L15166c86,
Kr,1,890.811,0.010,14,,,0,1,,,L4676,
Kr,1,890.871,0.010,18,,,0,1,,,L4676,
Kr,1,891.115,0.010,7,,,0,1,,,L4676,
Kr,1,891.723,0.010,16,,,0,1,,,L4676,
Kr,1,891.797,0.010,18,,,0,1,,,L4676,
Kr,1,892.108,0.010,6,,,0,1,,,L4676,
Kr,1,892.901,0.010,17,,,0,1,,,L4676,
Kr,1,892.990,0.010,18,,,0,1,,,L4676,
Kr,1,893.397,0.010,6,,,0,1,,,L4676,
Ar,1,894.310,0.010,150,,,0,1,,,L2131,
Kr,1,894.455,0.010,21,,,0,1,,,L4676,
Kr,1,894.565,0.010,20,,,0,1,,,L4676,
Kr,1,895.108,0.010,11,,,0,1,,,L4676,
Kr,1,896.568,0.010,21,,,0,1,,,L4676,
Kr,1,896.698,0.010,21,,,0,1,,,L4676,
Kr,1,897.435,0.010,13,,,0,1,,,L4676,
Kr,1,899.515,0.010,24,,,0,1,,,L4676,
Kr,1,899.651,0.010,24,,,0,1,,,L4676,
Kr,1,900.313,0.010,20,,,0,1,,,L4676,
Kr,1,900.876,0.010,22,,,0,1,,,L4676,
Kr,1,903.071,0.010,28,,,0,1,,,L4676,
Kr,1,904.004,0.010,14,,,0,1,,,L4676,
Kr,1,904.862,0.010,7,,,0,1,,,L4676,
Kr,1,906.697,0.010,20,,,0,1,,,L4676,
Kr,1,910.918,0.010,25,,,0,1,,,L4676,
Kr,1,911.670,0.010,24,,,0,1,,,L4676,
Kr,1,914.554,0.010,0,,,0,1,,,L4676,
Kr,1,922.738,0.010,23,5.30e+07,C,0,1,,T7227,L4676,
Kr,1,923.712,0.010,25,1.14e+08,C,0,1,,T7227,L4676,
Xe,1,925.743,0.002,a,,,0,1,,,L6449,
Xe,1,926.114,0.002,a,,,0,1,,,L6449,
Xe,1,926.428,0.002,a,,,0,1,,,L6449,
Xe,1,926.556,0.002,a,,,0,1,,,L6449,
Xe,1,926.936,0.002,a,,,0,1,,,L6449,
Xe,1,927.558,0.002,a,,,0,1,,,L6449,
Xe,1,927.750,0.002,a,,,0,1,,,L6449,
Xe,1,928.331,0.002,a,,,0,1,,,L6449,
Xe,1,928.571,0.002,a,,,0,1,,,L6449,
Kr,1,928.710,0.010,13,3.87e+06,C,0,1,,T7227,L4676,
Xe,1,929.306,0.002,a,,,0,1,,,L6449,
Xe,1,929.614,0.002,a,,,0,1,,,L6449,
Xe,1,930.564,0.002,a,,,0,1,,,L6449,
Xe,1,930.970,0.010,a,,,0,1,,,L6449,
Xe,1,932.223,0.002,a,,,0,1,,,L6449,
Xe,1,932.760,0.010,a,,,0,1,,,L6449,
Xe,1,934.477,0.002,a,,,0,1,,,L6449,
Xe,1,935.200,0.010,a,,,0,1,,,L6449,
Xe,1,937.650,0.002,a,,,0,1,,,L6449,
Xe,1,938.720,0.010,a,,,0,1,,,L6449,
Xe,1,942.322,0.002,a,,,0,1,,,L6449,
Xe,1,943.920,0.010,a,,,0,1,,,L6449,
Hg,1,944.45,0.07,20H,,,0,1,,,L15166c86,
Kr,1,945.441,0.010,37,2.81e+08,C,0,1,,T7227,L4676,
Kr,1,946.536,0.010,34,1.51e+08,C,0,1,,T7227,L4676,
Xe,1,949.634,0.002,a,,,0,1,,,L6449,
Kr,1,951.055,0.010,21,2.58e+07,C,0,1,,T7227,L4676,
Xe,1,952.260,0.010,a,,,0,1,,,L6449,
Kr,1,953.403,0.010,25,1.06e+08,C,0,1,,T7227,L4676,
Xe,1,961.96,0.15,a,,,0,1,,,L4034,
Kr,1,963.374500,0.000010,19,3.35e+07,C,0,1,,T7227,L11903,
Xe,1,966.9,0.1,a,,,0,1,,,L4034,
Xe,1,985.94,0.15,a,,,0,1,,,L4034,
Xe,1,995.8,0.1,a,,,0,1,,,L4034,
Kr,1,1001.060639,0.000010,44,3.42e+08,C,0,1,,T7227,L11903,
Kr,1,1003.550,0.010,31,1.82e+08,C,0,1,,T7227,L4676,
Xe,1,1025.777,0.002,a,,,0,1,,,L6449,
Xe,1,1025.906,0.002,a,,,0,1,,,L6449,
Xe,1,1026.223,0.002,a,,,0,1,,,L6449,
Xe,1,1026.378,0.002,a,,,0,1,,,L6449,
Xe,1,1026.637,0.002,a,,,0,1,,,L6449,
Xe,1,1026.758,0.002,a,,,0,1,,,L6449,
Xe,1,1026.946,0.002,a,,,0,1,,,L6449,
Xe,1,1027.260,0.002,a,,,0,1,,,L6449,
Xe,1,1027.405,0.002,a,,,0,1,,,L6449,
Xe,1,1027.635,0.002,a,,,0,1,,,L6449,
Xe,1,1028.020,0.002,a,,,0,1,,,L6449,
Xe,1,1028.198,0.002,a,,,0,1,,,L6449,
Xe,1,1028.484,0.002,a,,,0,1,,,L6449,
Xe,1,1028.966,0.002,a,,,0,1,,,L6449,
Xe,1,1029.186,0.002,a,,,0,1,,,L6449,
Xe,1,1029.546,0.002,a,,,0,1,,,L6449,
Kr,1,1030.022,0.010,12,1.11e+07,C+,0,1,,T7227,L4676,
Xe,1,1030.159,0.002,a,,,0,1,,,L6449,
Xe,1,1030.435,0.002,a,,,0,1,,,L6449,
Xe,1,1030.902,0.002,a,,,0,1,,,L6449,
Xe,1,1031.696,0.002,a,,,0,1,,,L6449,
Xe,1,1032.050,0.002,a,,,0,1,,,L6449,
Xe,1,1032.666,0.002,a,,,0,1,,,L6449,
Xe,1,1033.724,0.002,a,,,0,1,,,L6449,
Xe,1,1034.184,0.002,a,,,0,1,,,L6449,
Xe,1,1035.022,0.002,a,,,0,1,,,L6449,
Xe,1,1036.476,0.002,a,,,0,1,,,L6449,
Xe,1,1037.087,0.002,a,,,0,1,,,L6449,
Xe,1,1038.259,0.002,a,,,0,1,,,L6449,
Xe,1,1040.336,0.002,a,,,0,1,,,L6449,
Xe,1,1041.170,0.002,a,7.9e+07,C+,0,1,,T3180,L6449,
Xe,1,1042.613,0.002,a,,,0,1,,,L6449,
Xe,1,1043.83497,0.00003,a,5.9e+07,C,0,1,,T3180,L9794,
Xe,1,1046.123,0.002,a,,,0,1,,,L6449,
Xe,1,1047.136,0.002,a,1.27e+08,C+,0,1,,T3180,L6449,
Ar,1,1048.220,0.010,1000r,5.32e+08,AA,0,1,,T7574,L2131,
Xe,1,1050.107,0.002,a,8.5e+06,D+,0,1,,T3180,L6449,
Xe,1,1054.996,0.002,a,5.75e+07,C+,0,1,,T7227,T5940,L6449,
Xe,1,1056.12829,0.00003,a,1.93e+08,C+,0,1,,T7227,T5940,L9794,
Xe,1,1061.25564,0.00003,a,1.74e+07,C+,0,1,,T7227,T5940,L9794,
Ar,1,1066.660,0.010,500r,1.320e+08,A+,0,1,,T7574,L2131,
Hg,1,1066.80,0.07,8,,,0,1,,,L15166c86,
Xe,1,1068.168,0.002,a,3.72e+08,C+,0,1,,T7227,T5940,L6449,
Xe,1,1070.411,0.002,a,1.2e+07,D+,0,1,,T3180,L6449,
Xe,1,1078.584,0.002,a,7.6e+06,D+,0,1,,T3180,L6449,
Xe,1,1085.441,0.002,a,4.28e+07,C+,0,1,,T7227,T5940,L6449,
Xe,1,1099.716,0.002,a,4.08e+07,C+,0,1,,T7227,T5940,L6449,
Xe,1,1110.713,0.002,a,1.50e+08,C+,0,1,,T7227,T5940,L6449,
Hg,1,1126.60,0.10,100H,s,,,0,1,,,L15166c86,
Xe,1,1129.310,0.002,a,4.4e+06,D+,0,1,,T3180,L6449,
Cu,1,1146.61,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1147.25,0.02,a,,,1/2,3/2,,,L1923,
Cu,1,1151.43,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1152.33,0.02,a,,,1/2,3/2,,,L1923,
Cu,1,1158.52,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1159.93,0.02,a,,,1/2,3/2,,,L1923,
Cu,1,1162.71,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1163.17,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1163.79,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1164.42,0.02,a,,,1/2,1/2,,,L1923,
Kr,1,1164.867,0.010,71,3.09e+08,A+,0,1,,T7227,L4676,
Cu,1,1165.24,0.02,a,,,1/2,1/2,,,L1923,
Cu,1,1166.18,0.02,a,,,1/2,3/2,,,L1923,
Cu,1,1166.29,0.02,a,,,1/2,1/2,,,L1923,
